a;b;;;;
3475,0248;51,6901;;;;
3475,1772;51,9735;;;;
3475,3296;51,7707;;;;
3475,482;51,2853;;;;
3475,6344;50,6656;;;;
3475,7868;50,8314;;;;
3475,9392;51,1756;;;;
3476,0916;51,0617;;;;
3476,244;51,044;;;;
3476,3964;51,0534;;;;
3476,5488;51,7468;;;;
3476,7012;51,7929;;;;
3476,8536;51,6069;;;;
3477,006;51,5581;;;;
3477,1584;51,4931;;;;
3477,3108;50,7358;;;;
3477,4632;48,9372;;;;
3477,6156;45,3084;;;;
3477,768;40,1009;;;;
3477,9204;38,7859;;;;
3478,0728;36,7013;;;;
3478,2252;37,0616;;;;
3478,3776;35,122;;;;
3478,53;42,6762;;;;
3478,6824;44,0475;;;;
3478,8348;45,9995;;;;
3478,9872;47,5756;;;;
3479,1396;52,3421;;;;
3479,292;52,3958;;;;
3479,4444;52,2161;;;;
3479,5968;52,051;;;;
3479,7492;52,1031;;;;
3479,9016;51,9419;;;;
3480,054;51,8156;;;;
3480,2064;52,0891;;;;
3480,3588;52,2679;;;;
3480,5112;52,2968;;;;
3480,6636;51,9556;;;;
3480,816;51,7657;;;;
3480,9684;51,6367;;;;
3481,1208;51,5908;;;;
3481,2732;51,1306;;;;
3481,4256;50,7404;;;;
3481,578;50,6646;;;;
3481,7304;50,916;;;;
3481,8828;51,1713;;;;
3482,0352;51,6858;;;;
3482,1876;51,063;;;;
3482,34;50,5557;;;;
3482,4924;50,7193;;;;
3482,6448;50,938;;;;
3482,7972;50,9561;;;;
3482,9496;51,0159;;;;
3483,102;51,1433;;;;
3483,2544;51,6387;;;;
3483,4068;51,8856;;;;
3483,5592;51,0795;;;;
3483,7116;50,4563;;;;
3483,864;50,7078;;;;
3484,0164;50,425;;;;
3484,1688;49,841;;;;
3484,3212;49,7145;;;;
3484,4736;50,115;;;;
3484,626;50,6317;;;;
3484,7784;50,9715;;;;
3484,9308;51,1286;;;;
3485,0832;50,6887;;;;
3485,2356;50,349;;;;
3485,388;49,8239;;;;
3485,5404;49,834;;;;
3485,6928;50,4467;;;;
3485,8452;51,2701;;;;
3485,9976;51,4864;;;;
3486,15;51,2137;;;;
3486,3024;50,7792;;;;
3486,4548;50,5262;;;;
3486,6072;50,4685;;;;
3486,7596;50,6209;;;;
3486,912;50,4717;;;;
3487,0644;50,0776;;;;
3487,2168;50,1179;;;;
3487,3692;50,3622;;;;
3487,5216;50,3594;;;;
3487,674;50,4266;;;;
3487,8264;50,7122;;;;
3487,9788;50,5804;;;;
3488,1312;50,3847;;;;
3488,2836;50,3592;;;;
3488,436;50,7261;;;;
3488,5884;50,6936;;;;
3488,7408;50,3883;;;;
3488,8932;50,3732;;;;
3489,0456;49,9218;;;;
3489,198;49,2479;;;;
3489,3504;49,8875;;;;
3489,5028;50,5613;;;;
3489,6552;50,7033;;;;
3489,8076;50,7414;;;;
3489,96;50,8414;;;;
3490,1124;50,8988;;;;
3490,2648;50,7943;;;;
3490,4172;50,9202;;;;
3490,5696;51,2117;;;;
3490,722;50,1278;;;;
3490,8744;47,0934;;;;
3491,0268;40,0187;;;;
3491,1792;38,7571;;;;
3491,3316;36,7075;;;;
3491,484;37,5019;;;;
3491,6364;43,2761;;;;
3491,7888;43,1926;;;;
3491,9412;39,8994;;;;
3492,0936;42,4248;;;;
3492,246;49,4835;;;;
3492,3984;52,246;;;;
3492,5508;51,9309;;;;
3492,7032;52,4477;;;;
3492,8556;52,8022;;;;
3493,008;52,5559;;;;
3493,1604;52,5848;;;;
3493,3128;52,6772;;;;
3493,4652;52,6852;;;;
3493,6176;52,0826;;;;
3493,77;51,5712;;;;
3493,9224;50,6812;;;;
3494,0748;50,297;;;;
3494,2272;50,1644;;;;
3494,3796;50,1934;;;;
3494,532;50,0244;;;;
3494,6844;50,0098;;;;
3494,8368;50,2439;;;;
3494,9892;50,9487;;;;
3495,1416;51,0445;;;;
3495,294;50,5849;;;;
3495,4464;49,8595;;;;
3495,5988;50,0646;;;;
3495,7512;50,2233;;;;
3495,9036;49,916;;;;
3496,056;49,6525;;;;
3496,2084;50,2875;;;;
3496,3608;50,4876;;;;
3496,5132;51,4461;;;;
3496,6656;51,6426;;;;
3496,818;52,3819;;;;
3496,9704;52,8658;;;;
3497,1228;53,0379;;;;
3497,2752;52,9911;;;;
3497,4276;52,8682;;;;
3497,58;52,4775;;;;
3497,7324;52,0867;;;;
3497,8848;51,8069;;;;
3498,0372;51,7904;;;;
3498,1896;51,3953;;;;
3498,342;51,2038;;;;
3498,4944;51,1375;;;;
3498,6468;51,203;;;;
3498,7992;51,4349;;;;
3498,9516;51,4773;;;;
3499,104;51,7283;;;;
3499,2564;51,7125;;;;
3499,4088;51,5406;;;;
3499,5612;51,673;;;;
3499,7136;52,0953;;;;
3499,866;51,9417;;;;
3500,0184;51,6882;;;;
3500,1708;51,6395;;;;
3500,3232;51,0489;;;;
3500,4756;50,7201;;;;
3500,628;51,2604;;;;
3500,7804;51,7992;;;;
3500,9328;51,7189;;;;
3501,0852;51,2847;;;;
3501,2376;51,143;;;;
3501,39;51,4157;;;;
3501,5424;51,9499;;;;
3501,6948;51,8261;;;;
3501,8472;51,6929;;;;
3501,9996;51,6335;;;;
3502,152;51,7795;;;;
3502,3044;51,5065;;;;
3502,4568;51,0096;;;;
3502,6092;51,0162;;;;
3502,7616;50,9638;;;;
3502,914;51,0629;;;;
3503,0664;50,8651;;;;
3503,2188;50,8234;;;;
3503,3712;51,01;;;;
3503,5236;50,8519;;;;
3503,676;50,9077;;;;
3503,8284;47,2754;;;;
3503,9808;44,4713;;;;
3504,1332;38,6306;;;;
3504,2856;37,4973;;;;
3504,438;34,4552;;;;
3504,5904;35,2913;;;;
3504,7428;38,2163;;;;
3504,8952;39,9119;;;;
3505,0476;46,0539;;;;
3505,2;46,0544;;;;
3505,3524;48,9066;;;;
3505,5048;48,2251;;;;
3505,6572;48,0206;;;;
3505,8096;48,3546;;;;
3505,962;49,0971;;;;
3506,1144;49,4914;;;;
3506,2668;49,6114;;;;
3506,4192;49,6984;;;;
3506,5716;49,5441;;;;
3506,724;48,7236;;;;
3506,8764;48,6981;;;;
3507,0288;48,9928;;;;
3507,1812;49,4094;;;;
3507,3336;49,7111;;;;
3507,486;49,9922;;;;
3507,6384;50,3419;;;;
3507,7908;50,0849;;;;
3507,9432;48,9497;;;;
3508,0956;48,5504;;;;
3508,248;49,3778;;;;
3508,4004;49,822;;;;
3508,5528;50,166;;;;
3508,7052;50,3345;;;;
3508,8576;50,5868;;;;
3509,01;50,0218;;;;
3509,1624;49,2005;;;;
3509,3148;48,8062;;;;
3509,4672;49,4209;;;;
3509,6196;49,7741;;;;
3509,772;50,005;;;;
3509,9244;49,843;;;;
3510,0768;49,3751;;;;
3510,2292;48,9852;;;;
3510,3816;48,7652;;;;
3510,534;49,4373;;;;
3510,6864;49,7267;;;;
3510,8388;48,9002;;;;
3510,9912;48,5444;;;;
3511,1436;49,2222;;;;
3511,296;49,7781;;;;
3511,4484;49,0624;;;;
3511,6008;48,2847;;;;
3511,7532;47,5518;;;;
3511,9056;46,8397;;;;
3512,058;46,2026;;;;
3512,2104;47,2385;;;;
3512,3628;48,3472;;;;
3512,5152;48,616;;;;
3512,6676;48,1448;;;;
3512,82;47,7625;;;;
3512,9724;47,4217;;;;
3513,1248;47,6266;;;;
3513,2772;47,9825;;;;
3513,4296;48,7225;;;;
3513,582;49,2297;;;;
3513,7344;49,3907;;;;
3513,8868;49,2602;;;;
3514,0392;49,7492;;;;
3514,1916;49,7694;;;;
3514,344;49,7314;;;;
3514,4964;49,68;;;;
3514,6488;49,7596;;;;
3514,8012;50,2483;;;;
3514,9536;50,5989;;;;
3515,106;50,661;;;;
3515,2584;50,4872;;;;
3515,4108;50,4453;;;;
3515,5632;51,0054;;;;
3515,7156;51,2759;;;;
3515,868;51,3361;;;;
3516,0204;50,9671;;;;
3516,1728;50,3756;;;;
3516,3252;50,3186;;;;
3516,4776;50,4816;;;;
3516,63;50,6317;;;;
3516,7824;47,1161;;;;
3516,9348;41,8157;;;;
3517,0872;43,4236;;;;
3517,2396;42,0793;;;;
3517,392;38,7008;;;;
3517,5444;35,599;;;;
3517,6968;36,8461;;;;
3517,8492;37,2988;;;;
3518,0016;43,0818;;;;
3518,154;47,5715;;;;
3518,3064;51,3189;;;;
3518,4588;50,9641;;;;
3518,6112;50,5493;;;;
3518,7636;50,023;;;;
3518,916;49,6771;;;;
3519,0684;49,5462;;;;
3519,2208;49,5859;;;;
3519,3732;50,3098;;;;
3519,5256;50,7754;;;;
3519,678;51,2955;;;;
3519,8304;51,2567;;;;
3519,9828;50,928;;;;
3520,1352;50,4447;;;;
3520,2876;50,2485;;;;
3520,44;50,3557;;;;
3520,5924;50,4544;;;;
3520,7448;50,4211;;;;
3520,8972;50,277;;;;
3521,0496;49,7901;;;;
3521,202;49,4099;;;;
3521,3544;49,2992;;;;
3521,5068;49,389;;;;
3521,6592;49,7056;;;;
3521,8116;49,6515;;;;
3521,964;49,4562;;;;
3522,1164;49,2147;;;;
3522,2688;49,0054;;;;
3522,4212;49,0737;;;;
3522,5736;49,4547;;;;
3522,726;49,7033;;;;
3522,8784;49,4724;;;;
3523,0308;48,8628;;;;
3523,1832;48,533;;;;
3523,3356;48,3931;;;;
3523,488;47,68;;;;
3523,6404;47,0536;;;;
3523,7928;46,8028;;;;
3523,9452;47,054;;;;
3524,0976;47,2729;;;;
3524,25;46,9341;;;;
3524,4024;46,2711;;;;
3524,5548;45,921;;;;
3524,7072;45,6529;;;;
3524,8596;46,2219;;;;
3525,012;46,9518;;;;
3525,1644;47,7532;;;;
3525,3168;48,4751;;;;
3525,4692;48,8442;;;;
3525,6216;49,1989;;;;
3525,774;49,6225;;;;
3525,9264;49,7105;;;;
3526,0788;49,2161;;;;
3526,2312;48,7971;;;;
3526,3836;48,8698;;;;
3526,536;48,9399;;;;
3526,6884;48,8709;;;;
3526,8408;49,0752;;;;
3526,9932;49,7791;;;;
3527,1456;50,0359;;;;
3527,298;49,7955;;;;
3527,4504;49,5999;;;;
3527,6028;49,4742;;;;
3527,7552;49,0385;;;;
3527,9076;48,4008;;;;
3528,06;47,8527;;;;
3528,2124;48,2938;;;;
3528,3648;49,0311;;;;
3528,5172;49,7214;;;;
3528,6696;49,8907;;;;
3528,822;49,8929;;;;
3528,9744;49,707;;;;
3529,1268;48,8516;;;;
3529,2792;48,1869;;;;
3529,4316;42,9236;;;;
3529,584;38,7578;;;;
3529,7364;39,6119;;;;
3529,8888;38,85;;;;
3530,0412;34,2857;;;;
3530,1936;31,9537;;;;
3530,346;33,8314;;;;
3530,4984;34,5616;;;;
3530,6508;36,8386;;;;
3530,8032;44,2697;;;;
3530,9556;46,0898;;;;
3531,108;46,7879;;;;
3531,2604;46,3148;;;;
3531,4128;46,0655;;;;
3531,5652;45,8741;;;;
3531,7176;45,7112;;;;
3531,87;45,4587;;;;
3532,0224;45,2139;;;;
3532,1748;45,1459;;;;
3532,3272;45,5359;;;;
3532,4796;45,9963;;;;
3532,632;45,8926;;;;
3532,7844;46,0907;;;;
3532,9368;45,8441;;;;
3533,0892;45,3605;;;;
3533,2416;44,7626;;;;
3533,394;44,3124;;;;
3533,5464;43,7377;;;;
3533,6988;43,816;;;;
3533,8512;44,3478;;;;
3534,0036;44,7484;;;;
3534,156;44,3665;;;;
3534,3084;43,7963;;;;
3534,4608;43,8086;;;;
3534,6132;44,1236;;;;
3534,7656;43,9917;;;;
3534,918;43,0913;;;;
3535,0704;41,7063;;;;
3535,2228;39,7357;;;;
3535,3752;37,8654;;;;
3535,5276;36,4957;;;;
3535,68;35,5407;;;;
3535,8324;34,5364;;;;
3535,9848;33,9231;;;;
3536,1372;33,4543;;;;
3536,2896;33,845;;;;
3536,442;34,2334;;;;
3536,5944;34,8164;;;;
3536,7468;35,5966;;;;
3536,8992;35,6814;;;;
3537,0516;35,7252;;;;
3537,204;35,9582;;;;
3537,3564;36,6187;;;;
3537,5088;36,9093;;;;
3537,6612;37,3331;;;;
3537,8136;37,5254;;;;
3537,966;38,0998;;;;
3538,1184;38,2701;;;;
3538,2708;38,0604;;;;
3538,4232;37,6666;;;;
3538,5756;37,0649;;;;
3538,728;36,8239;;;;
3538,8804;36,6685;;;;
3539,0328;36,1924;;;;
3539,1852;36,0359;;;;
3539,3376;36,4034;;;;
3539,49;36,7333;;;;
3539,6424;36,8175;;;;
3539,7948;37,0498;;;;
3539,9472;37,2774;;;;
3540,0996;37,6252;;;;
3540,252;37,3407;;;;
3540,4044;37,6013;;;;
3540,5568;37,7105;;;;
3540,7092;38,0366;;;;
3540,8616;37,5493;;;;
3541,014;37,7168;;;;
3541,1664;37,4249;;;;
3541,3188;37,5619;;;;
3541,4712;37,8809;;;;
3541,6236;38,8831;;;;
3541,776;40,5411;;;;
3541,9284;41,6515;;;;
3542,0808;42,8488;;;;
3542,2332;41,5596;;;;
3542,3856;37,5479;;;;
3542,538;37,6279;;;;
3542,6904;38,2319;;;;
3542,8428;36,0833;;;;
3542,9952;32,252;;;;
3543,1476;34,128;;;;
3543,3;37,8105;;;;
3543,4524;43,9932;;;;
3543,6048;44,2812;;;;
3543,7572;46,4795;;;;
3543,9096;47,1329;;;;
3544,062;47,2744;;;;
3544,2144;46,8172;;;;
3544,3668;46,5373;;;;
3544,5192;46,4842;;;;
3544,6716;46,1303;;;;
3544,824;46,3981;;;;
3544,9764;47,1697;;;;
3545,1288;48,7012;;;;
3545,2812;48,4993;;;;
3545,4336;47,1693;;;;
3545,586;45,8593;;;;
3545,7384;46,1484;;;;
3545,8908;46,4293;;;;
3546,0432;46,6234;;;;
3546,1956;46,651;;;;
3546,348;46,1905;;;;
3546,5004;45,149;;;;
3546,6528;44,3288;;;;
3546,8052;43,8265;;;;
3546,9576;43,3675;;;;
3547,11;41,942;;;;
3547,2624;41,4322;;;;
3547,4148;40,9373;;;;
3547,5672;41,0889;;;;
3547,7196;41,3869;;;;
3547,872;42,171;;;;
3548,0244;42,9938;;;;
3548,1768;43,8813;;;;
3548,3292;44,0269;;;;
3548,4816;44,0245;;;;
3548,634;43,6902;;;;
3548,7864;42,9201;;;;
3548,9388;42,2568;;;;
3549,0912;42,2215;;;;
3549,2436;42,0395;;;;
3549,396;41,4383;;;;
3549,5484;40,4968;;;;
3549,7008;40,0962;;;;
3549,8532;40,4012;;;;
3550,0056;40,0444;;;;
3550,158;40,0907;;;;
3550,3104;39,9081;;;;
3550,4628;39,8313;;;;
3550,6152;39,8709;;;;
3550,7676;40,1791;;;;
3550,92;41,0534;;;;
3551,0724;40,5157;;;;
3551,2248;39,3805;;;;
3551,3772;38,8387;;;;
3551,5296;38,4797;;;;
3551,682;38,0198;;;;
3551,8344;37,8505;;;;
3551,9868;37,587;;;;
3552,1392;37,5848;;;;
3552,2916;38,0958;;;;
3552,444;38,5917;;;;
3552,5964;38,5752;;;;
3552,7488;38,6259;;;;
3552,9012;38,5294;;;;
3553,0536;38,7085;;;;
3553,206;38,8805;;;;
3553,3584;39,3743;;;;
3553,5108;40,2971;;;;
3553,6632;40,6075;;;;
3553,8156;40,7412;;;;
3553,968;40,9071;;;;
3554,1204;40,8946;;;;
3554,2728;40,7471;;;;
3554,4252;40,1897;;;;
3554,5776;39,6358;;;;
3554,73;38,8667;;;;
3554,8824;34,9595;;;;
3555,0348;33,7018;;;;
3555,1872;32,5243;;;;
3555,3396;30,053;;;;
3555,492;26,5159;;;;
3555,6444;28,8548;;;;
3555,7968;28,4489;;;;
3555,9492;28,7262;;;;
3556,1016;30,1255;;;;
3556,254;35,5324;;;;
3556,4064;37,2674;;;;
3556,5588;40,7282;;;;
3556,7112;40,1649;;;;
3556,8636;39,8;;;;
3557,016;40,0651;;;;
3557,1684;41,0135;;;;
3557,3208;41,882;;;;
3557,4732;41,912;;;;
3557,6256;41,9703;;;;
3557,778;42,1038;;;;
3557,9304;42,2369;;;;
3558,0828;42,0847;;;;
3558,2352;41,8951;;;;
3558,3876;41,6771;;;;
3558,54;41,4538;;;;
3558,6924;41,4531;;;;
3558,8448;40,949;;;;
3558,9972;40,3437;;;;
3559,1496;40,6268;;;;
